kernel,dtype,N,stride,misalign,tail,median_ms,p10_ms,p90_ms,gflops,gibps,cpe,label,hint,check,vecmode
stencil,f64,32768,1,0,0,0.0236,0.02262,0.02524,6.941949,41.377241,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
stencil,f64,32768,1,0,0,0.0109,0.0109,0.01116,15.030275,89.587422,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
stencil,f64,32768,1,0,0,0.0081,0.0081,0.00814,20.225926,120.555913,0.0,unit,mode:AVX2,isa:AVX2,AVX2
stencil,f64,131072,1,0,0,0.0784,0.0783,0.09276,8.359056,49.823857,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
stencil,f64,131072,1,0,0,0.0468,0.04554,0.05744,14.003205,83.465607,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
stencil,f64,131072,1,0,0,0.0398,0.03966,0.04284,16.46608,98.145487,0.0,unit,mode:AVX2,isa:AVX2,AVX2
stencil,f64,524288,1,0,0,0.3676,0.35586,0.38476,7.131202,42.505279,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
stencil,f64,524288,1,0,0,0.251,0.24558,0.27922,10.443944,62.250759,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
stencil,f64,524288,1,0,0,0.2558,0.2457,0.27,10.247967,61.082644,0.0,unit,mode:AVX2,isa:AVX2,AVX2
stencil,f64,1048576,1,0,0,0.9595,0.92988,1.3148,5.464169,32.568984,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
stencil,f64,1048576,1,0,0,0.8636,0.83298,0.89276,6.070947,36.185665,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
stencil,f64,1048576,1,0,0,0.8651,0.83922,0.94586,6.060421,36.122923,0.0,unit,mode:AVX2,isa:AVX2,AVX2
stencil,f64,2097152,1,0,0,1.9158,1.89102,2.26536,5.473301,32.623416,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
stencil,f64,2097152,1,0,0,1.821,1.79214,2.18744,5.758237,34.321768,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
stencil,f64,2097152,1,0,0,1.8063,1.77384,2.09598,5.805099,34.601085,0.0,unit,mode:AVX2,isa:AVX2,AVX2
stencil,f64,8388608,1,0,0,8.3704,8.00356,8.5581,5.010875,29.867144,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
stencil,f64,8388608,1,0,0,7.7016,7.38828,8.26128,5.446015,32.46078,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
stencil,f64,8388608,1,0,0,7.7204,7.37662,8.20908,5.432753,32.381734,0.0,unit,mode:AVX2,isa:AVX2,AVX2
saxpy,f32,8192,1,0,0,0.0056,0.0056,0.00572,2.925714,16.348703,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,16384,1,0,0,0.0099,0.009,0.01846,3.309899,18.495502,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,32768,1,0,0,0.0115,0.0115,0.01154,5.698783,31.844429,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,65536,1,0,0,0.0392,0.03724,0.048,3.343673,18.684232,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,131072,1,0,0,0.0604,0.05542,0.07536,4.340132,24.25238,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,262144,1,0,0,0.0981,0.09028,0.1271,5.344424,29.864297,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,524288,1,0,0,0.3473,0.27754,0.5393,3.019223,16.871221,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,1048576,1,0,0,0.5486,0.5459,0.58718,3.822734,21.361192,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,2097152,1,0,0,1.1691,1.10278,1.32592,3.587635,20.047472,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,4194304,1,0,0,2.2377,2.22934,2.4101,3.748763,20.947848,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,8388608,1,0,0,4.5687,4.52714,4.73828,3.672208,20.52006,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,8192,1,0,0,0.0026,0.0025,0.00264,6.301538,35.21259,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,16384,1,0,0,0.0035,0.00316,0.00354,9.362286,52.315848,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,32768,1,0,0,0.0049,0.0048,0.00494,13.374694,74.736926,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,65536,1,0,0,0.0097,0.0097,0.00974,13.512577,75.50741,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,131072,1,0,0,0.0245,0.02346,0.02624,10.699755,59.789541,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,262144,1,0,0,0.0669,0.06626,0.07926,7.836891,43.79204,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,524288,1,0,0,0.1662,0.15406,0.17848,6.309122,35.254964,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,1048576,1,0,0,0.3977,0.3876,0.4957,5.273201,29.466306,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,2097152,1,0,0,0.8934,0.86272,1.07844,4.694766,26.23405,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,4194304,1,0,0,1.9647,1.93324,2.19924,4.269664,23.858604,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,8388608,1,0,0,5.0904,4.40148,5.47502,3.295854,18.41702,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,8192,1,0,0,0.0014,0.0014,0.00154,11.702857,65.39481,0.0,unit,mode:AVX2,isa:AVX2,AVX2
saxpy,f32,16384,1,0,0,0.0019,0.00186,0.00198,17.246316,96.371299,0.0,unit,mode:AVX2,isa:AVX2,AVX2
